agro_id,name_en,name_bn,agro_category,guessed_our_type,price_bdt,old_price_bdt,stock_status,vendor,url,image_url,match_slug,match_name_en,match_score
7306,Bipen- Vet 40 Lac Inj 1 vial,বাইপেন ভেট ৪০লাখ ইঞ্জেকশন ১ভায়াল,Cattle > Cattle Medication > Antibiotics,vet_supply,61,64,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/bipen-vet-40-lac-inj-1-vial,https://cdn.agromukam.com/images/p_img10246.webp,,,
7310,Buphos-Vet Inj 100ml,বুফোস ভেট ইঞ্জেকশন ১০০মিলি,Cattle > Cattle Nutrition > Growth Promoter (Organic),feed,413,433.55,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/buphos-vet-inj-100ml-2,https://cdn.agromukam.com/images/p_img10249.webp,,,
7311,Buphos-Vet Inj 30ml,বুফোস ভেট ইঞ্জেকশন ৩০মিলি,Cattle > Cattle Nutrition > Growth Promoter (Organic),feed,136,142.74,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/buphos-vet-inj-30ml,https://cdn.agromukam.com/images/p_img10250.webp,,,
7314,Calplex Liquid 1 L,ক্যালপ্লেক্স লিকুইড ১লিটার,Poultry > Poultry Nutrition > Vitamins & Minerals,other,967,1075,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/calplex-liquid-1-l,https://cdn.agromukam.com/images/p_img9845.webp,,,
7315,Calplex Liquid 100 ml,ক্যালপ্লেক্স লিকুইড ১০০মিলি,Poultry > Poultry Nutrition > Vitamins & Minerals,other,125,140,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/calplex-liquid-100-ml,https://agromukam.com/agm-util/get-thumb?pictureId=9846&size=300,,,
7316,Calplex Liquid 220 L,ক্যালপ্লেক্স লিকুইড ২২০লিটার,Poultry > Poultry Nutrition > Egg Shell Hardness,other,135000,150000,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/calplex-liquid-220-l,https://cdn.agromukam.com/images/p_img9847.webp,,,
7317,Calvit-P Suspension 1 L,ক্যাল্ভিট-পি সাসপেনশন ১লিটার,Cattle > Cattle Nutrition > Milk Booster,feed,324,370,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/calvit-p-suspension-1-l,https://cdn.agromukam.com/images/p_img9848.webp,,,
7318,Calvit-P Suspension 5.0L,ক্যাল্ভিট-পি সাসপেনশন ৫লিটার,Cattle > Cattle Nutrition > Milk Booster,feed,1404,1600,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/calvit-p-suspension-50l,https://cdn.agromukam.com/images/p_img9849.webp,,,
7319,Ceftron-Vet Inj 1g,সেফট্রন ভেট ইঞ্জেকশন 1g,Cattle > Cattle Medication > Antibiotics,vet_supply,137,143.93,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/ceftron-vet-inj-1g,https://cdn.agromukam.com/images/p_img10261.webp,,,
7320,Ceftron-Vet Inj 2g,সেফট্রন ভেট ইঞ্জেকশন 2g,Cattle > Cattle Medication > Antibiotics,vet_supply,258,270.82,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/ceftron-vet-inj-2g,https://cdn.agromukam.com/images/p_img10262.webp,,,
